merk;model;kleur;prijs_excl_rijklaar;prijs_incl_rijklaar;artikelnummer;omschrijving;levering
SYM;XPRO 25 KM/H E5+;White;2449,00;2699,00;XPR25-M5WH8018P;X-PRO 25 KM/H M5 E5P WHITE (WH8018P);Week 44 leverbaar
SYM;J4RX 25 KM/H E5+;Mat Black;2299,00;2549,00;J4RX25-M5BK007U-BK00;JET 4 RX E5+ 25KM/H MAT BLACK;Stock
SYM;J4RX 25 KM/H E5+;Bronze Grey;2299,00;2549,00;J4RX25-M5GY446S-BK00;JET 4 RX E5+ 25KM/H BRONZE GREY;Stock
SYM;J4RX 25 KM/H E5+;Night Purple/Black;2299,00;2549,00;J4RX25-M5PGN5477S-BK;JET 4 RX E5+ 25KM/H NIGHT PURPLE/BLA;Week 39 leverbaar
SYM;J4RX 45 KM/H E5+;Mat Black;2299,00;2549,00;J4RX-M5BK007U-BK001C;JET 4 RX M5 E5+ 45 MAT BLACK;Stock
SYM;J4RX 45 KM/H E5+;Bronze Grey;2299,00;2549,00;J4RX-M5GY446S-BK001C;JET 4 RX M5 E5+ 45 BRONZE GREY;Stock
SYM;J4RX 45 KM/H E5+;Night Purple/Black;2299,00;2549,00;J4RX-M5PGN5477S-BK00;JET 4 RX M5 E5+ 45 KM/H NIGHT PURPLE BL;Week 39 leverbaar
SYM;FIDDLE II 45 KM/H E5+;Tech Black;1899,00;2149,00;FI-M5BK007U;FIDDLE II M5 E5+ 45KM TECH BLACK;Week 44 leverbaar
SYM;FIDDLE II 45 KM/H E5+;Black;1899,00;2149,00;FI-M5BK5560S;FIDDLE II 45KM E5P BLACK (BK5560S);Week 42 leverbaar
SYM;FIDDLE II 45 KM/H E5+;Blue;1899,00;2149,00;FI-M5BU283U;FIDDLE II M5 E5+ 45KM BLUE (BU283U);Week 42 leverbaar
SYM;FIDDLE II 45 KM/H E5+;Bronze Grey;1899,00;2149,00;FI-M5GY446S;FIDDLE II 45KM E5P BRONZE GREY (GY446S);Week 44 leverbaar
SYM;FIDDLE IV 45 KM/H E5+;Black Gloss;2449,00;2699,00;FIV-M5BK5560S;FIDDLE IV 50 E5+ 45 KM/H BLACK GLOSS;Stock
SYM;FIDDLE IV 45 KM/H E5+;Mamba Green;2449,00;2699,00;FIV-M5GNR5605U;FIDDLE IV 50 E5+ 45 KM/H MAMBA GREEN;Week 44 leverbaar
SYM;FIDDLE IV 45 KM/H E5+;Bronze Grey;2449,00;2699,00;FIV-M5GY446S;FIDDLE IV 50 E5+ 45 KM/H BRONZE GREY;Week 44 leverbaar
SYM;MIO 50I 45 KM/H E5+;Matt Indigo;2349,00;2599,00;MIO-M5BUP275U-BK001C;MIO 50I M5 E5+ 45 KM/H MATT INDIGO;Week 39 leverbaar
SYM;MIO 50I 45 KM/H E5+;Bronze Grey;2349,00;2599,00;MIO-M5GY446S-BK001C;MIO 50I M5 E5+ 45 KM/H BRONZE GREY;Week 39 leverbaar
SYM;JET 14 45 KM/H E5+;Black Gloss;2599,00;2849,00;J14-M5BK5560S;JET 14 M5 E5+ BLACK GLOSS;Week 39 leverbaar
SYM;JET 14 45 KM/H E5+;Mamba Green;2599,00;2849,00;J14-M5GNR5605U;JET 14 45KM E5P 45 MAMBA GREEN(GNR5605U);Week 39 leverbaar
SYM;JET 14 45 KM/H E5+;Bronze Grey;2599,00;2849,00;J14-M5GY446S;JET 14 M5 E5+ 45 KM/H BRONZE GREY;Week 39 leverbaar
SYM;ORBIT III 45 KM/H E5+;Tech Black;1849,00;2099,00;ORIII-M5BK007U;ORBIT III M5 E5+ 45 KM TECH BLACK;Week 39 leverbaar
SYM;ORBIT III 45 KM/H E5+;Bronze Grey;1849,00;2099,00;ORIII-M5GY446S;ORBIT III M5 E5+ 45 KM/H BRONZE GREY;Week 39 leverbaar
SYM;ORBIT III 45 KM/H E5+;Night Purple;1849,00;2099,00;ORIII-M5PGN5477S;ORBIT III M5 E5+ 45 KM NIGHT PURPLE;Week 44 leverbaar
SYM;SYMPHONY 45 KM/H E5+;Mat Black;2499,00;2749,00;SY-M6BK007U;SYMPHONY M6 E5+ 45 KM/H MAT BLACK;Week 39 leverbaar
SYM;SYMPHONY 45 KM/H E5+;Space Grey;2499,00;2749,00;SY-M6BK2593U;SYMPHONY M6 E5+ 45 KM/H SPACE GREY;Stock
SYM;SYMPHONY 45 KM/H E5+;Mamba Green;2499,00;2749,00;SY-M6GNR5605U;SYMPHONY M6 E5+ 45 KM/H MAMBA GREEN;Week 39 leverbaar
SYM;XPRO 45 KM/H E5+;Black;2449,00;2699,00;XPR-M5BK001C;X-PRO 45 KM/H M5 E5P BLACK (BK001C);Week 44 leverbaar
SYM;XPRO 45 KM/H E5+;Icy White;2449,00;2699,00;XPR-M5WH8018P;X-PRO 45KM/H  M5 E5P ICY WHITE (WH8018P);Beperkte stock
SYM;FUGUE 125 AC ABS E5+;Black/Silver;3100,00;3350,00;FUG12A-M4BK502C-S352;FUGUE125 AC ABS E5+ BLC/SIL(BK502C-S352U;Stock
SYM;FUGUE 125 AC ABS E5+;Black/Grey;3100,00;3350,00;FUG12A-M4GY218-BK502;FUGUE 125 AC ABS E5+ BLC/GREY(GY218-BK);Stock
SYM;ECHS 125 ABS+TCS;Mat/Flash Black;2200,00;2450,00;ECHS12A-M6BK447U-BK5;ECHS 125 ABS+TCS M6 MAT/FLASH BLACK;Week 45 leverbaar
SYM;ECHS 125 ABS+TCS;Cyan Green/Mat Black;2200,00;2450,00;ECHS12A-M6GN553U-BK4;ECHS 125 ABS+TCS M6 CYAN GREEN/MAT BLA;Week 45 leverbaar
SYM;JET 14 125 AC E5+ EVO;Matt Black;3000,40;3250,40;J14E12-M4BK007U;JET 14 125 AC CBS M4 E5+ EVO MATT BLACK;Stock
